APRO v4.06
Compiler : Delphi 7
Operating System : WinNT 6.2 
Device: COM3
Date/time: 21/06/17, 14:18:36
Time      Type      SubType       Data      OtherData
--------  --------  ------------  --------  ---------
0770.003  Dispatch  ReadCom       00000000  
0770.066  Dispatch  ReadCom       00000000  
0770.129  Dispatch  ReadCom       00000000  
0770.191  Dispatch  ReadCom       00000000  
0770.254  Dispatch  ReadCom       00000000  
0770.316  Dispatch  ReadCom       00000000  
0770.379  Dispatch  ReadCom       00000000  
0770.441  Dispatch  ReadCom       00000000  
0770.504  Dispatch  ReadCom       00000000  
0770.566  Dispatch  ReadCom       00000000  
0770.629  Dispatch  ReadCom       00000000  
0770.691  Dispatch  ReadCom       00000000  
0770.754  Dispatch  ReadCom       00000000  
0770.804  Dispatch  ReadCom       00000000  
0770.864  Dispatch  ReadCom       00000000  
0770.927  Dispatch  ReadCom       00000000  
0770.989  Dispatch  ReadCom       00000000  
0771.052  Dispatch  ReadCom       00000000  
0771.114  Dispatch  ReadCom       00000000  
0771.177  Dispatch  ReadCom       00000000  
0771.239  Dispatch  ReadCom       00000000  
0771.290  Dispatch  ReadCom       00000000  
0771.349  Dispatch  ReadCom       00000000  
0771.411  Dispatch  ReadCom       00000000  
0771.474  Dispatch  ReadCom       00000000  
0771.536  Dispatch  ReadCom       00000000  
0771.599  Dispatch  ReadCom       00000000  
0771.661  Dispatch  ReadCom       00000000  
0771.724  Dispatch  ReadCom       00000000  
0771.786  Dispatch  ReadCom       00000000  
0771.849  Dispatch  ReadCom       00000000  
0771.912  Dispatch  ReadCom       00000000  
0771.974  Dispatch  ReadCom       00000000  
0772.037  Dispatch  ReadCom       00000000  
0772.099  Dispatch  ReadCom       00000000  
0772.162  Dispatch  ReadCom       00000000  
0772.224  Dispatch  ReadCom       00000000  
0772.287  Dispatch  ReadCom       00000000  
0772.349  Dispatch  ReadCom       00000000  
0772.412  Dispatch  ReadCom       00000000  
0772.474  Dispatch  ReadCom       00000000  
0772.537  Dispatch  ReadCom       00000000  
0772.599  Dispatch  ReadCom       00000000  
0772.662  Dispatch  ReadCom       00000000  
0772.724  Dispatch  ReadCom       00000000  
0772.787  Dispatch  ReadCom       00000000  
0772.850  Dispatch  ReadCom       00000000  
0772.913  Dispatch  ReadCom       00000000  
0772.975  Dispatch  ReadCom       00000000  
0773.038  Dispatch  ReadCom       00000000  
0773.100  Dispatch  ReadCom       00000000  
0773.163  Dispatch  ReadCom       00000000  
0773.225  Dispatch  ReadCom       00000000  
0773.288  Dispatch  ReadCom       00000000  
0773.351  Dispatch  ReadCom       00000000  
0773.401  Dispatch  ReadCom       00000000  
0773.465  Dispatch  ReadCom       00000000  
0773.527  Dispatch  ReadCom       00000000  
0773.590  Dispatch  ReadCom       00000000  
0773.652  Dispatch  ReadCom       00000000  
0773.715  Dispatch  ReadCom       00000000  
0773.777  Dispatch  ReadCom       00000000  
0773.828  Dispatch  ReadCom       00000000  
0773.882  Dispatch  ReadCom       00000000  
0773.944  Dispatch  ReadCom       00000000  
0774.007  Dispatch  ReadCom       00000000  
0774.069  Dispatch  ReadCom       00000000  
0774.131  Dispatch  ReadCom       00000000  
0774.194  Dispatch  ReadCom       00000000  
0774.256  Dispatch  ReadCom       00000000  
0774.319  Dispatch  ReadCom       00000000  
0774.383  Dispatch  ReadCom       00000000  
0774.445  Dispatch  ReadCom       00000000  
0774.508  Dispatch  ReadCom       00000000  
0774.570  Dispatch  ReadCom       00000000  
0774.633  Dispatch  ReadCom       00000000  
0774.695  Dispatch  ReadCom       00000000  
0774.758  Dispatch  ReadCom       00000000  
0774.820  Dispatch  ReadCom       00000000  
0774.883  Dispatch  ReadCom       00000000  
0774.945  Dispatch  ReadCom       00000000  
0775.008  Dispatch  ReadCom       00000000  
0775.070  Dispatch  ReadCom       00000000  
0775.133  Dispatch  ReadCom       00000000  
0775.195  Dispatch  ReadCom       00000000  
0775.258  Dispatch  ReadCom       00000000  
0775.320  Dispatch  ReadCom       00000000  
0775.383  Dispatch  ReadCom       00000000  
0775.446  Dispatch  ReadCom       00000000  
0775.508  Dispatch  ReadCom       00000000  
0775.571  Dispatch  ReadCom       00000000  
0775.633  Dispatch  ReadCom       00000000  
0775.696  Dispatch  ReadCom       00000000  
0775.758  Dispatch  ReadCom       00000000  
0775.821  Dispatch  ReadCom       00000000  
0775.882  Dispatch  ReadCom       00000000  
0775.945  Dispatch  ReadCom       00000000  
0776.007  Dispatch  ReadCom       00000000  
0776.070  Dispatch  ReadCom       00000000  
0776.132  Dispatch  ReadCom       00000000  
0776.195  Dispatch  ReadCom       00000000  
0776.257  Dispatch  ReadCom       00000000  
0776.320  Dispatch  ReadCom       00000000  
0776.384  Dispatch  ReadCom       00000000  
0776.446  Dispatch  ReadCom       00000000  
0776.509  Dispatch  ReadCom       00000000  
0776.571  Dispatch  ReadCom       00000000  
0776.634  Dispatch  ReadCom       00000000  
0776.696  Dispatch  ReadCom       00000000  
0776.759  Dispatch  ReadCom       00000000  
0776.821  Dispatch  ReadCom       00000000  
0776.884  Dispatch  ReadCom       00000000  
0776.946  Dispatch  ReadCom       00000000  
0777.009  Dispatch  ReadCom       00000000  
0777.071  Dispatch  ReadCom       00000000  
0777.134  Dispatch  ReadCom       00000000  
0777.196  Dispatch  ReadCom       00000000  
0777.259  Dispatch  ReadCom       00000000  
0777.322  Dispatch  ReadCom       00000000  
0777.384  Dispatch  ReadCom       00000000  
0777.447  Dispatch  ReadCom       00000000  
0777.509  Dispatch  ReadCom       00000000  
0777.572  Dispatch  ReadCom       00000000  
0777.634  Dispatch  ReadCom       00000000  
0777.697  Dispatch  ReadCom       00000000  
0777.759  Dispatch  ReadCom       00000000  
0777.822  Dispatch  ReadCom       00000000  
0777.884  Dispatch  ReadCom       00000000  
0777.950  Dispatch  ReadCom       00000000  
0778.012  Dispatch  ReadCom       00000000  
0778.075  Dispatch  ReadCom       00000000  
0778.137  Dispatch  ReadCom       00000000  
0778.200  Dispatch  ReadCom       00000000  
0778.262  Dispatch  ReadCom       00000000  
0778.325  Dispatch  ReadCom       00000000  
0778.384  Dispatch  ReadCom       00000000  
0778.446  Dispatch  ReadCom       00000000  
0778.509  Dispatch  ReadCom       00000000  
0778.571  Dispatch  ReadCom       00000000  
0778.634  Dispatch  ReadCom       00000000  
0778.696  Dispatch  ReadCom       00000000  
0778.759  Dispatch  ReadCom       00000000  
0778.821  Dispatch  ReadCom       00000000  
0778.872  Dispatch  ReadCom       00000000  
0778.932  Dispatch  ReadCom       00000000  
0778.994  Dispatch  ReadCom       00000000  
0779.057  Dispatch  ReadCom       00000000  
0779.119  Dispatch  ReadCom       00000000  
0779.182  Dispatch  ReadCom       00000000  
0779.244  Dispatch  ReadCom       00000000  
0779.307  Dispatch  ReadCom       00000000  
0779.358  Dispatch  ReadCom       00000000  
0779.416  Dispatch  ReadCom       00000000  
0779.479  Dispatch  ReadCom       00000000  
0779.541  Dispatch  ReadCom       00000000  
0779.604  Dispatch  ReadCom       00000000  
0779.666  Dispatch  ReadCom       00000000  
0779.729  Dispatch  ReadCom       00000000  
0779.791  Dispatch  ReadCom       00000000  
0779.854  Dispatch  ReadCom       00000000  
0779.917  Dispatch  ReadCom       00000000  
0779.979  Dispatch  ReadCom       00000000  
0780.042  Dispatch  ReadCom       00000000  
0780.104  Dispatch  ReadCom       00000000  
0780.167  Dispatch  ReadCom       00000000  
0780.229  Dispatch  ReadCom       00000000  
0780.290  Dispatch  ReadCom       00000000  
0780.352  Dispatch  ReadCom       00000000  
0780.418  Dispatch  ReadCom       00000000  
0780.480  Dispatch  ReadCom       00000000  
0780.543  Dispatch  ReadCom       00000000  
0780.601  Dispatch  ReadCom       00000000  
0780.663  Dispatch  ReadCom       00000000  
0780.726  Dispatch  ReadCom       00000000  
0780.788  Dispatch  ReadCom       00000000  
0780.851  Dispatch  ReadCom       00000000  
0780.901  Dispatch  ReadCom       00000000  
0780.965  Dispatch  ReadCom       00000000  
0781.027  Dispatch  ReadCom       00000000  
0781.090  Dispatch  ReadCom       00000000  
0781.152  Dispatch  ReadCom       00000000  
0781.215  Dispatch  ReadCom       00000000  
0781.277  Dispatch  ReadCom       00000000  
0781.340  Dispatch  ReadCom       00000000  
0781.391  Dispatch  ReadCom       00000000  
0781.450  Dispatch  ReadCom       00000000  
0781.513  Dispatch  ReadCom       00000000  
0781.575  Dispatch  ReadCom       00000000  
0781.638  Dispatch  ReadCom       00000000  
0781.700  Dispatch  ReadCom       00000000  
0781.763  Dispatch  ReadCom       00000000  
0781.825  Dispatch  ReadCom       00000000  
0781.888  Dispatch  ReadCom       00000000  
0781.951  Dispatch  ReadCom       00000000  
0782.013  Dispatch  ReadCom       00000000  
0782.076  Dispatch  ReadCom       00000000  
0782.138  Dispatch  ReadCom       00000000  
0782.201  Dispatch  ReadCom       00000000  
0782.263  Dispatch  ReadCom       00000000  
0782.326  Dispatch  ReadCom       00000000  
0782.388  Dispatch  ReadCom       00000000  
0782.450  Dispatch  ReadCom       00000000  
0782.513  Dispatch  ReadCom       00000000  
0782.575  Dispatch  ReadCom       00000000  
0782.638  Dispatch  ReadCom       00000000  
0782.700  Dispatch  ReadCom       00000000  
0782.763  Dispatch  ReadCom       00000000  
0782.825  Dispatch  ReadCom       00000000  
0782.888  Dispatch  ReadCom       00000000  
0782.951  Dispatch  ReadCom       00000000  
0783.014  Dispatch  ReadCom       00000000  
0783.076  Dispatch  ReadCom       00000000  
0783.139  Dispatch  ReadCom       00000000  
0783.201  Dispatch  ReadCom       00000000  
0783.264  Dispatch  ReadCom       00000000  
0783.326  Dispatch  ReadCom       00000000  
0783.389  Dispatch  ReadCom       00000000  
0783.451  Dispatch  ReadCom       00000000  
0783.514  Dispatch  ReadCom       00000000  
0783.568  Dispatch  ReadCom       00000000  
0783.630  Dispatch  ReadCom       00000000  
0783.693  Dispatch  ReadCom       00000000  
0783.755  Dispatch  ReadCom       00000000  
0783.818  Dispatch  ReadCom       00000000  
0783.880  Dispatch  ReadCom       00000000  
0783.931  Dispatch  ReadCom       00000000  
0783.983  Dispatch  ReadCom       00000000  
0784.045  Dispatch  ReadCom       00000000  
0784.108  Dispatch  ReadCom       00000000  
0784.170  Dispatch  ReadCom       00000000  
0784.233  Dispatch  ReadCom       00000000  
0784.295  Dispatch  ReadCom       00000000  
0784.358  Dispatch  ReadCom       00000000  
0784.420  Dispatch  ReadCom       00000000  
0784.484  Dispatch  ReadCom       00000000  
0784.546  Dispatch  ReadCom       00000000  
0784.609  Dispatch  ReadCom       00000000  
0784.671  Dispatch  ReadCom       00000000  
0784.734  Dispatch  ReadCom       00000000  
0784.797  Dispatch  ReadCom       00000000  
0784.859  Dispatch  ReadCom       00000000  
0784.922  Dispatch  ReadCom       00000000  
0784.984  Dispatch  ReadCom       00000000  
0785.047  Dispatch  ReadCom       00000000  
0785.109  Dispatch  ReadCom       00000000  
0785.172  Dispatch  ReadCom       00000000  
0785.234  Dispatch  ReadCom       00000000  
0785.297  Dispatch  ReadCom       00000000  
0785.359  Dispatch  ReadCom       00000000  
0785.422  Dispatch  ReadCom       00000000  
0785.483  Dispatch  ReadCom       00000000  
0785.546  Dispatch  ReadCom       00000000  
0785.609  Dispatch  ReadCom       00000000  
0785.671  Dispatch  ReadCom       00000000  
0785.734  Dispatch  ReadCom       00000000  
0785.796  Dispatch  ReadCom       00000000  
0785.859  Dispatch  ReadCom       00000000  
0785.921  Dispatch  ReadCom       00000000  
0785.986  Dispatch  ReadCom       00000000  
0786.048  Dispatch  ReadCom       00000000  
0786.111  Dispatch  ReadCom       00000000  
0786.173  Dispatch  ReadCom       00000000  
0786.236  Dispatch  ReadCom       00000000  
0786.298  Dispatch  ReadCom       00000000  
0786.361  Dispatch  ReadCom       00000000  
0786.423  Dispatch  ReadCom       00000000  
0786.485  Dispatch  ReadCom       00000000  
0786.548  Dispatch  ReadCom       00000000  
0786.610  Dispatch  ReadCom       00000000  
0786.673  Dispatch  ReadCom       00000000  
0786.735  Dispatch  ReadCom       00000000  
0786.798  Dispatch  ReadCom       00000000  
0786.860  Dispatch  ReadCom       00000000  
0786.923  Dispatch  ReadCom       00000000  
0786.973  Dispatch  ReadCom       00000000  
0787.034  Dispatch  ReadCom       00000000  
0787.096  Dispatch  ReadCom       00000000  
0787.159  Dispatch  ReadCom       00000000  
0787.221  Dispatch  ReadCom       00000000  
0787.284  Dispatch  ReadCom       00000000  
0787.346  Dispatch  ReadCom       00000000  
0787.409  Dispatch  ReadCom       00000000  
0787.459  Dispatch  ReadCom       00000000  
0787.517  Dispatch  ReadCom       00000000  
0787.580  Dispatch  ReadCom       00000000  
0787.642  Dispatch  ReadCom       00000000  
0787.705  Dispatch  ReadCom       00000000  
0787.767  Dispatch  ReadCom       00000000  
0787.830  Dispatch  ReadCom       00000000  
0787.892  Dispatch  ReadCom       00000000  
0787.955  Dispatch  ReadCom       00000000  
0788.018  Dispatch  ReadCom       00000000  
0788.081  Dispatch  ReadCom       00000000  
0788.143  Dispatch  ReadCom       00000000  
0788.206  Dispatch  ReadCom       00000000  
0788.269  Dispatch  ReadCom       00000000  
0788.331  Dispatch  ReadCom       00000000  
0788.394  Dispatch  ReadCom       00000000  
0788.456  Dispatch  ReadCom       00000000  
0788.507  Dispatch  ReadCom       00000000  
0788.561  Dispatch  ReadCom       00000000  
0788.623  Dispatch  ReadCom       00000000  
0788.686  Dispatch  ReadCom       00000000  
0788.749  Dispatch  ReadCom       00000000  
0788.811  Dispatch  ReadCom       00000000  
0788.874  Dispatch  ReadCom       00000000  
0788.936  Dispatch  ReadCom       00000000  
0788.987  Dispatch  ReadCom       00000000  
0789.050  Dispatch  ReadCom       00000000  
0789.113  Dispatch  ReadCom       00000000  
0789.175  Dispatch  ReadCom       00000000  
0789.238  Dispatch  ReadCom       00000000  
0789.300  Dispatch  ReadCom       00000000  
0789.363  Dispatch  ReadCom       00000000  
0789.425  Dispatch  ReadCom       00000000  
0789.488  Dispatch  ReadCom       00000000  
0789.551  Dispatch  ReadCom       00000000  
0789.614  Dispatch  ReadCom       00000000  
0789.677  Dispatch  ReadCom       00000000  
0789.739  Dispatch  ReadCom       00000000  
0789.802  Dispatch  ReadCom       00000000  
0789.864  Dispatch  ReadCom       00000000  
0789.927  Dispatch  ReadCom       00000000  
0789.989  Dispatch  ReadCom       00000000  
0790.051  Dispatch  ReadCom       00000000  
0790.113  Dispatch  ReadCom       00000000  
0790.176  Dispatch  ReadCom       00000000  
0790.238  Dispatch  ReadCom       00000000  
0790.301  Dispatch  ReadCom       00000000  
0790.363  Dispatch  ReadCom       00000000  
0790.426  Dispatch  ReadCom       00000000  
0790.476  Dispatch  ReadCom       00000000  
0790.526  Dispatch  ReadCom       00000000  
0790.583  Dispatch  ReadCom       00000000  
0790.646  Dispatch  ReadCom       00000000  
0790.708  Dispatch  ReadCom       00000000  
0790.771  Dispatch  ReadCom       00000000  
0790.833  Dispatch  ReadCom       00000000  
0790.896  Dispatch  ReadCom       00000000  
0790.958  Dispatch  ReadCom       00000000  
0791.009  Dispatch  ReadCom       00000000  
0791.068  Dispatch  ReadCom       00000000  
0791.131  Dispatch  ReadCom       00000000  
0791.193  Dispatch  ReadCom       00000000  
0791.256  Dispatch  ReadCom       00000000  
0791.318  Dispatch  ReadCom       00000000  
0791.381  Dispatch  ReadCom       00000000  
0791.443  Dispatch  ReadCom       00000000  
0791.506  Dispatch  ReadCom       00000000  
0791.568  Dispatch  ReadCom       00000000  
0791.631  Dispatch  ReadCom       00000000  
0791.693  Dispatch  ReadCom       00000000  
0791.756  Dispatch  ReadCom       00000000  
0791.818  Dispatch  ReadCom       00000000  
0791.881  Dispatch  ReadCom       00000000  
0791.943  Dispatch  ReadCom       00000000  
0792.006  Dispatch  ReadCom       00000000  
0792.070  Dispatch  ReadCom       00000000  
0792.132  Dispatch  ReadCom       00000000  
0792.195  Dispatch  ReadCom       00000000  
0792.257  Dispatch  ReadCom       00000000  
0792.320  Dispatch  ReadCom       00000000  
0792.382  Dispatch  ReadCom       00000000  
0792.445  Dispatch  ReadCom       00000000  
0792.507  Dispatch  ReadCom       00000000  
0792.569  Dispatch  ReadCom       00000000  
0792.631  Dispatch  ReadCom       00000000  
0792.694  Dispatch  ReadCom       00000000  
0792.756  Dispatch  ReadCom       00000000  
0792.819  Dispatch  ReadCom       00000000  
0792.881  Dispatch  ReadCom       00000000  
0792.944  Dispatch  ReadCom       00000000  
0793.006  Dispatch  ReadCom       00000000  
0793.057  Dispatch  ReadCom       00000000  
0793.117  Dispatch  ReadCom       00000000  
0793.179  Dispatch  ReadCom       00000000  
0793.242  Dispatch  ReadCom       00000000  
